地名,センター,可燃ゴミ,ペットボトル,リサイクルプラ,資源ゴミ,有害ゴミ,その他プラ,大型ゴミ,不燃ゴミ
西区 鈴が峰町、田方1丁目～3丁目 山田新町1丁目、2丁目、山田町 古江上1丁目、2丁目 古田台1丁目、2丁目 古江東町、古江西町,,月 木,水,水,金1 金3,金1 金3,金2 金4,20140408 20140422 20140513 20140527 20140610 20140624 20140708 20140722 20140812 20140826 20140909 20140926 20141014 20141028 20141111 20141125 20141209 20141226 20150113 20150127 20150210 20150224 20150310 20150324 *1,火1 火3
西区 古江新町 庚午中1丁目～4丁目 庚午北1丁目、4丁目,,月 木,水,水,火2 火4,火2 火4,火1 火3,20140411 20140425 20140509 20140523 20140613 20140627 20140711 20140725 20140808 20140822 20140912 20140926 20141010 20141024 20141114 20141128 20141212 20141226 20150109 20150123 20150213 20150227 20150313 20150327 *1,金1 金3
西区 南観音1丁目～8丁目,,月 木,水,水,金2 金4,金2 金4,金1 金3,20140404 20140418 20140509 20140516 20140606 20140620 20140704 20140718 20140801 20140815 20140905 20140919 20141003 20141017 20141107 20141121 20141205 20141219 20150106 20150116 20150206 20150220 20150306 20150320 *1,金2 金4
西区 草津新町1丁目、2丁目 草津港1丁目～3丁目 井口明神1丁目～3丁目 商工センター1丁目～8丁目 井口鈴が台1丁目～3丁目,,月 木,金,金,水1 水3,水1 水3,水2 水4,20140408 20140422 20140513 20140527 20140610 20140624 20140708 20140722 20140812 20140826 20140909 20140919 20141014 20141028 20141111 20141125 20141209 20141219 20150113 20150127 20150210 20150224 20150310 20150324 *1,火1 火3
西区 井口1丁目～5丁目,,月 木,金,金,水2 水4,水2 水4,水1 水3,20140401 20140415 20140513 20140520 20140603 20140617 20140701 20140715 20140805 20140819 20140902 20140916 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 *1,火2 火4
西区 草津浜町、草津本町 草津梅が台 草津南1丁目～4丁目,,月 木,金,金,火1 火3,火1 火3,火2 火4,20140401 20140415 20140507 20140520 20140603 20140617 20140701 20140715 20140805 20140819 20140902 20140916 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 *1,火2 火4
西区 己斐大迫1丁目～3丁目 己斐上1丁目～6丁目、己斐町,,火 金,月,月,木1 木3,木1 木3,木2 木4,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150212 20150225 20150311 20150325 *1,水1 水3
西区 己斐本町1丁目～3丁目 己斐中1丁目～3丁目,,火 金,水,水,月1 月3,月1 月3,月2 月4,20140410 20140424 20140508 20140522 20140612 20140626 20140710 20140724 20140814 20140828 20140911 20140925 20141009 20141023 20141113 20141127 20141211 20141225 20150108 20150122 20150212 20150226 20150312 20150326 *1,木1 木3
西区 己斐東1丁目、2丁目 己斐西町,,火 金,水,水,月1 月3,月1 月3,月2 月4,20140403 20140417 20140508 20140515 20140605 20140619 20140703 20140717 20140807 20140821 20140904 20140918 20141002 20141016 20141106 20141120 20141204 20141218 20150108 20150115 20150205 20150219 20150305 20150319 *1,木2 木4
西区 庚午北2丁目、3丁目 高須1丁目～3丁目,,火 金,水,水,木1 木3,木1 木3,木2 木4,20140407 20140421 20140508 20140519 20140602 20140616 20140707 20140724 20140804 20140818 20140901 20140922 20141006 20141020 20141110 20141117 20141201 20141215 20150108 20150119 20150202 20150216 20150302 20150316 *1,月2 月4
西区 高須4丁目 高須台1丁目～6丁目  ,,火 金,水,水,月2 月4,月2 月4,月1 月3,20140403 20140417 20140508 20140515 20140605 20140619 20140703 20140717 20140807 20140821 20140904 20140918 20141002 20141016 20141106 20141120 20141204 20141218 20150108 20150115 20150205 20150219 20150305 20150319 *1,木2 木4
西区 小河内町1丁目、2丁目 福島町1丁目、2丁目、都町 観音町、上天満町、天満町 観音本町1丁目、2丁目 南観音町、西観音町、東観音町,,火 金,水,水,木2 木4,木2 木4,木1 木3,20140414 20140421 20140512 20140526 20140609 20140623 20140714 20140728 20140807 20140825 20140908 20140922 20141016 20141027 20141110 20141120 20141208 20141222 20150115 20150126 20150209 20150223 20150309 20150323 *1,月1 月3
西区 山手町 竜王町,,火 金,木,木,月1 月3,月1 月3,月2 月4,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150209 20150225 20150311 20150325 *1,水1 水3
西区 三滝本町1丁目、2丁目 新庄町 三滝山,,火 金,木,木,月1 月3,月1 月3,月2 月4,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
西区 大宮1丁目～3丁目 大芝1丁目～3丁目 大芝公園、三篠北町 楠木町1丁目～4丁目 三篠町1丁目～3丁目,,火 金,木,木,月2 月4,月2 月4,月1 月3,20140402 20140416 20140507 20140521 20140604 20140618 20140702 20140716 20140804 20140820 20140903 20140917 20141001 20141015 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318 *1,水2 水4
西区 横川町1丁目～3丁目 横川新町、打越町、三滝町,,火 金,木,木,水1 水3,水1 水3,水2 水4,20140407 20140421 20140512 20140519 20140602 20140616 20140707 20140723 20140804 20140818 20140901 20140922 20141006 20141020 20141110 20141117 20141201 20141215 20150107 20150119 20150202 20150216 20150302 20150316 *1,月2 月4
西区 中広町1丁目～3丁目,,火 金,木,木,水2 水4,水2 水4,水1 水3,20140414 20140421 20140512 20140526 20140609 20140623 20140714 20140728 20140818 20140825 20140908 20140922 20141015 20141027 20141110 20141119 20141208 20141222 20150107 20150126 20150209 20150223 20150309 20150323 *1,月1 月3
安佐南区 長束1丁目、2丁目、3丁目,,月 木,火,火,水1 水3,水1 水3,水2 水4,20140411 20140425 20140509 20140523 20140613 20140627 20140711 20140725 20140808 20140822 20140912 20140926 20141010 20141024 20141114 20141128 20141212 20141226 20150114 20150123 20150213 20150227 20150313 20150327 *1,金1 金3
安佐南区 長束4丁目、5丁目、6丁目 長束西1丁目、2丁目、3丁目、4丁目、5丁目 山本1丁目、2丁目、3丁目、4丁目、5丁目、6丁目、7丁目、8丁目、9丁目、山本町 山本新町1丁目、2丁目、3丁目、4丁目、5丁目,,月 木,火,火,金1 金3,金1 金3,金2 金4,20140409 20140423 20140514 20140528 20140611 20140625 20140709 20140723 20140813 20140827 20140910 20140924 20141008 20141022 20141112 20141126 20141210 20141224 20150114 20150128 20150213 20150225 20150311 20150325 *1,水1 水3
